Population,sample.id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
EUR,HG00096,-0.0106516999071732,0.0228304562911246,0.000625648337247585,-0.0202906930334589,0.00098568781756189,-0.00254649110149167,-0.0211872439410614,-0.00613823865018107,-0.000458784979273806,0.0028199612444561,0.00516737985337657,-0.000800286288699786,-0.0144639033450235,-0.0084641915698218,-0.00910908772811748,0.00222787948220741,-0.00294299649068788,-0.00730309863781357,-0.000277532236460418,-0.00107768705815788
EUR,HG00097,-0.011195410308185,0.0264627365932367,0.005738068970568,-0.021745592349532,0.000803633110700268,-0.00628533000029601,-0.0256062368804376,-0.00737789212276054,-0.00083080836648668,0.00889130101330731,0.00576443484376293,-0.00379464648373552,-0.00188786937556209,-0.00594007976572592,0.00217059687958695,0.0057695837840039,-0.00403276511287899,-0.00835844048958609,0.00100864780984559,0.000437631094018356
EUR,HG00099,-0.0118964084346527,0.0224104898931005,0.0032563963166287,-0.0201027311446693,0.00213836234503612,-0.00866946561395244,-0.0239326447094239,-0.00682076603137321,0.00100600610563824,0.00312049350799337,-0.0012442614313063,-0.0018929893331022,0.00413374348575181,-0.00123553016880647,-0.000910808699622793,0.00449676635891338,-0.00262153689509469,-0.00511333799335328,0.00254465493915097,0.00162974713262882
EUR,HG00100,-0.0119652428641416,0.0234645832858452,0.000937736261616779,-0.0171592846300681,0.000177333549744048,-0.00526910469917475,-0.0325157341973224,-0.00750460718218901,-0.00933291506192546,0.011983091109194,0.00346852013374134,-5.67499029480646e-05,-0.00264397409531422,0.00196474423519072,-0.00224429193239892,0.00707187422623887,0.0095641631858834,-0.00125445812754758,-0.00175993441495167,-0.00697004298465424
EUR,HG00101,-0.0116765091365161,0.0233403366182251,0.00478272067870786,-0.0190917831261413,-5.84179798472944e-05,-0.00140727020131227,-0.0204357386965083,-0.00450197047043118,-0.0042488378080965,0.00920945257332193,0.00191022817739906,0.001549531893554,0.00317961746941246,0.00199619801255495,-0.000397240287909214,8.01696995426118e-05,0.00241880677914994,0.00241822382169221,0.00397181840046085,-0.00123955587448806
EUR,HG00102,-0.0110231026968272,0.0212130712582158,0.00591986648680955,-0.0199158788206593,-0.00176465977101327,-0.0106577274473118,-0.0302123030104074,-0.00524717495349312,-0.00259866367715191,0.00528521371748373,-0.000577636654995282,-0.00494982576478186,0.0100554652998614,0.00972240740801079,-0.0170129712752928,0.00836548690718362,0.00467114754051158,-0.00136776569946223,-0.00311051481972484,-0.00220422175296834
EUR,HG00103,-0.0118454588640617,0.0250059696191356,0.00526331825455078,-0.0219945710808659,0.00188452719229258,-0.00610162743410868,-0.0122467315048015,-0.00380045855113036,-0.00691837318151081,0.00196160781540237,-0.00462346871236572,-0.00230235386798253,0.000440226854968087,0.00608662653808264,0.000792717932899602,-0.0057759442060265,-0.00573564590895156,0.0021240515719835,-0.00418831616007448,0.00358921961068617
EUR,HG00105,-0.0116626017823122,0.0244695655702929,0.00245047543268627,-0.02073441006899,0.00219638158396287,-0.00504827852465274,-0.0083616048052677,-0.00232374141368813,-0.00121926283820499,0.00574777310280661,-0.00591868457714691,-0.00476682068476013,-0.0136128179665944,0.0039964851109196,0.0104191089140417,0.00263957415755101,0.00483702891517457,-0.00286006700352887,-0.0036317381443361,-0.00448533000208218
EUR,HG00106,-0.0115235692391823,0.0224103160666018,0.00566131757578984,-0.0175848998988746,0.00196763074035027,-0.00268447621073248,-0.0169569535701131,-0.00239714592564509,-0.00484253772488632,6.07140794590172e-05,0.000335068794037287,-4.45242086825772e-05,0.00149435760015463,-0.000367557708910494,-0.00618750929872138,0.00178037795892611,-0.00254278639568561,-0.000803745328176545,0.00154386069487461,-0.000196281834774233
EUR,HG00107,-0.011617083817087,0.0234013110966849,0.00536454914539863,-0.0240555473297813,0.000344460988139836,-0.0117427406120765,-0.0303833405943809,-0.0075566373520089,0.00310299282484916,0.0100998464489838,7.31364466168878e-05,0.00542713110200779,0.00877779133372917,-0.00284019625957463,0.0104429686738916,0.00373374263477817,9.22477328162458e-05,0.00581743676483401,-0.00241102841645569,-0.00677792832107018
EUR,HG00108,-0.0099572586291768,0.0222286380947193,0.00494221264946344,-0.0185090298369512,-0.000937793491366812,-0.00334122424647171,-0.0173669231177578,-0.0121836621197426,-0.00155856343111014,0.00572342538297852,-0.00318414324782471,-0.00234976858125561,0.00288749060842848,-0.00268244876888091,-0.00635155353764783,0.000977231588832305,-0.000957441719785937,-0.000154849247774597,-4.31684730081571e-05,0.00267398872621888
EUR,HG00109,-0.0109290605869728,0.0243400804611623,0.00286482157948834,-0.0195364222144106,0.000759216123865671,-0.0070836632029131,-0.0267631709581129,-0.00170637101684764,-0.00408426201434968,0.00572804977076658,-0.000280902230648334,0.00335890821314397,-0.00136108810241839,-0.00858648271793342,0.00144390377020272,0.000225760226690076,-0.00188783871565181,0.00189138359401089,-0.000513898322960092,-0.00675409822721182
EUR,HG00110,-0.010504348316445,0.0247812853068093,0.00440291859597548,-0.0241619820811528,-0.00394272493648975,-0.0148106927145471,-0.0269333501799623,-0.00736113572993915,-0.00970732002436302,0.0101378162805679,0.00711274295739651,-0.00201036134447689,-0.00549421830215924,0.0029316152418697,-2.4559293716267e-05,-0.00822227933900017,-0.00420991129922892,0.00108014963852877,-0.00407586247703053,0.00374388639073147
EUR,HG00111,-0.0109616902267075,0.0233824507208237,0.009271099445839,-0.0258904123107491,0.0019088097170208,-0.0102154084349649,-0.0305592978075294,-0.00824886187392278,-0.00754132645022802,0.0133937640401056,0.00186705440451653,0.000404855406287915,-0.0159628472299825,-0.000613848715223162,0.00265730124744618,-0.00230340404220205,0.000987593180814778,-0.00302176354522149,0.00233595971849061,-0.000710796871963974
EUR,HG00112,-0.011728430172351,0.023237745384706,0.00884224770159392,-0.0140260369840204,-0.000167537920791745,-0.0179470043660817,-0.0423120261819842,-0.0121990127069728,-0.00515985404234891,0.0141313571003129,0.00109922137764794,-0.00477064020712494,0.00470734197453988,-0.00309117692415937,0.014736257480209,0.00200077106820163,-0.00367525201858087,-0.00235794221928332,-0.00538454218314664,-0.00435329478560369
EUR,HG00113,-0.0113856648481403,0.0242874054847196,0.00806020082552791,-0.0205059596567881,0.00279608477547854,-0.00795272904727941,-0.019161278774348,-0.00506581537070195,-0.00420810471202046,0.00197843972726506,-0.00090973005302709,-0.00297352343117178,-0.00308189332320851,-0.00197724150070824,-0.00601394924008482,0.00699556609696855,0.0041937821312232,0.000339627613355145,0.00269642376548142,0.0015627474851388
EUR,HG00114,-0.0114777373347924,0.0228638355100461,-0.00231679206696756,-0.0139872183036766,0.00172749456441945,-0.00602763190572559,-0.0250522987645545,-0.005205216946808,0.00724788114088845,0.00994911319100949,0.00099204540140413,0.00223359213028496,0.00570532506277618,-0.00474052360981238,-0.00247176710822007,0.00775692097009993,-0.00217321361190936,-0.00167749626503667,0.00539621425948179,0.0019218540352996
EUR,HG00115,-0.0103832011391433,0.0236309022129348,0.00201573803318867,-0.0171871140857832,0.00176633035004346,-0.0147035725222447,-0.0281105053695002,-0.00151394894772186,-0.00906532978984749,0.00237970242852325,0.00129018589480721,0.00858010378015878,-0.00481407449512122,0.00890598916407239,-0.00452301551659527,0.00391897454813127,0.00127458994202491,-0.00365598287660575,-0.00273475757115919,-0.0019739463728021
EUR,HG00116,-0.0110681529112858,0.0250255843752965,0.00134107795850947,-0.0207699895935022,-0.000746496392113634,-0.0127105403623933,-0.0224880444710334,-0.00306515728202291,-0.00176038373720243,0.00223871645165141,0.0030052576786271,0.00219187338467199,-0.00185124620053533,-0.0101910347246977,-0.0004133158815376,0.0129221271072945,0.00177879825944051,-0.00883090474714307,-0.0010514770191238,-0.00385884197967248
EUR,HG00117,-0.0121320680379288,0.0227716760676325,0.00513330639650534,-0.0131737267386172,0.00317198314613746,-0.00262969867170152,-0.0250062557582772,-0.00833054022963084,0.00347542078089984,0.00651531925662391,0.00346364665610494,-0.00276718386433683,0.00955104448430089,-1.30091977115718e-05,0.00908288292205371,-0.00139953649740105,0.00749564126958335,0.00574905982087587,0.0022463301756272,0.0028534869574368
EUR,HG00118,-0.0116420654497224,0.0261015153189528,0.00689156515846374,-0.0166705311454038,-0.00407227518167008,-0.00448169917486591,-0.0162780033860867,-0.008207892993781,-0.00314894459433131,0.00734458254973927,-0.00185592073505258,-0.000205902234552054,-0.0123695816484038,-0.00131989171869019,-0.00947162861157939,-0.000420896266645657,-0.00838017233372612,0.00427215855140193,-0.00987338736181314,0.00353219692085579
EUR,HG00119,-0.011509330674596,0.0257980835270596,0.00664025047565477,-0.0192102203946767,0.00247151375439816,-0.00956348424142988,-0.02570926677905,-0.00792507963044479,-0.0141350585830947,0.00407399804029883,0.00267665476228815,-0.000972193259094395,-2.65484978699759e-05,-0.00234014674787029,-0.00198205498252342,-0.00324731348353326,-0.000416259158449946,0.00133182117442363,-0.00666889656865375,-0.00436951728225951
