K,scenario,fpr,method,mean
2,3,0.006,glmnetPCFPR,0.2616
2,3,0.006,ggmixFPR,0.25720000000000004
2,3,0.007,pglmmFPR,0.2712000000000001
2,3,0.007,glmnetFPR,0.2308
2,3,0.007,glmnetPCFPR,0.27480000000000004
2,3,0.007,ggmixFPR,0.2664
2,3,0.008,pglmmFPR,0.27920000000000006
2,3,0.008,glmnetFPR,0.2412
2,3,0.008,glmnetPCFPR,0.2828
2,3,0.008,ggmixFPR,0.27560000000000007
2,3,0.009,pglmmFPR,0.28680000000000005
2,3,0.009,glmnetFPR,0.2504
2,3,0.009,glmnetPCFPR,0.2896
2,3,0.009,ggmixFPR,0.28400000000000003
2,3,0.01,pglmmFPR,0.29320000000000007
2,3,0.01,glmnetFPR,0.2583999999999999
2,3,0.01,glmnetPCFPR,0.2972000000000001
2,3,0.01,ggmixFPR,0.2916
5,1,0.0,pglmmFPR,0.1148
5,1,0.0,glmnetFPR,0.025600000000000005
5,1,0.0,glmnetPCFPR,0.10759999999999997
5,1,0.0,ggmixFPR,0.126
5,1,0.001,pglmmFPR,0.1844
5,1,0.001,glmnetFPR,0.06400000000000004
5,1,0.001,glmnetPCFPR,0.18160000000000004
5,1,0.001,ggmixFPR,0.19319999999999996
5,1,0.002,pglmmFPR,0.22279999999999997
5,1,0.002,glmnetFPR,0.1056
5,1,0.002,glmnetPCFPR,0.21480000000000007
5,1,0.002,ggmixFPR,0.2284
5,1,0.003,pglmmFPR,0.24639999999999998
5,1,0.003,glmnetFPR,0.13399999999999998
5,1,0.003,glmnetPCFPR,0.23599999999999993
5,1,0.003,ggmixFPR,0.24520000000000003
5,1,0.004,pglmmFPR,0.26239999999999997
5,1,0.004,glmnetFPR,0.1636
5,1,0.004,glmnetPCFPR,0.25560000000000005
5,1,0.004,ggmixFPR,0.2612000000000001
5,1,0.005,pglmmFPR,0.27560000000000007
5,1,0.005,glmnetFPR,0.18599999999999994
5,1,0.005,glmnetPCFPR,0.2688
5,1,0.005,ggmixFPR,0.27560000000000007
5,1,0.006,pglmmFPR,0.28919999999999996
5,1,0.006,glmnetFPR,0.20719999999999994
5,1,0.006,glmnetPCFPR,0.27759999999999996
5,1,0.006,ggmixFPR,0.2872
5,1,0.007,pglmmFPR,0.29599999999999993
5,1,0.007,glmnetFPR,0.22519999999999998
5,1,0.007,glmnetPCFPR,0.2892
5,1,0.007,ggmixFPR,0.29200000000000004
5,1,0.008,pglmmFPR,0.30519999999999997
5,1,0.008,glmnetFPR,0.23519999999999994
5,1,0.008,glmnetPCFPR,0.29960000000000003
5,1,0.008,ggmixFPR,0.30400000000000005
5,1,0.009,pglmmFPR,0.3116
5,1,0.009,glmnetFPR,0.2552000000000001
5,1,0.009,glmnetPCFPR,0.30480000000000007
5,1,0.009,ggmixFPR,0.30960000000000004
5,1,0.01,pglmmFPR,0.31999999999999995
5,1,0.01,glmnetFPR,0.26399999999999996
5,1,0.01,glmnetPCFPR,0.3136000000000001
5,1,0.01,ggmixFPR,0.31440000000000007
5,2,0.0,pglmmFPR,0.15719999999999998
5,2,0.0,glmnetFPR,0.07360000000000003
5,2,0.0,glmnetPCFPR,0.14239999999999994
5,2,0.0,ggmixFPR,0.16559999999999991
5,2,0.001,pglmmFPR,0.29320000000000007
5,2,0.001,glmnetFPR,0.16079999999999994
5,2,0.001,glmnetPCFPR,0.2852
5,2,0.001,ggmixFPR,0.2836000000000001
5,2,0.002,pglmmFPR,0.33720000000000006
5,2,0.002,glmnetFPR,0.22039999999999996
5,2,0.002,glmnetPCFPR,0.3320000000000002
5,2,0.002,ggmixFPR,0.32800000000000007
5,2,0.003,pglmmFPR,0.354
5,2,0.003,glmnetFPR,0.264
5,2,0.003,glmnetPCFPR,0.35440000000000005
5,2,0.003,ggmixFPR,0.35320000000000007
5,2,0.004,pglmmFPR,0.3724
5,2,0.004,glmnetFPR,0.2968
5,2,0.004,glmnetPCFPR,0.3704
5,2,0.004,ggmixFPR,0.37120000000000003
5,2,0.005,pglmmFPR,0.39
5,2,0.005,glmnetFPR,0.32720000000000016
5,2,0.005,glmnetPCFPR,0.38280000000000003
5,2,0.005,ggmixFPR,0.38520000000000004
5,2,0.006,pglmmFPR,0.40199999999999997
5,2,0.006,glmnetFPR,0.34400000000000014
5,2,0.006,glmnetPCFPR,0.39159999999999995
5,2,0.006,ggmixFPR,0.3956
5,2,0.007,pglmmFPR,0.4056
5,2,0.007,glmnetFPR,0.36119999999999997
5,2,0.007,glmnetPCFPR,0.402
5,2,0.007,ggmixFPR,0.40720000000000006
5,2,0.008,pglmmFPR,0.4188
5,2,0.008,glmnetFPR,0.3728
5,2,0.008,glmnetPCFPR,0.4128
5,2,0.008,ggmixFPR,0.41559999999999997
5,2,0.009,pglmmFPR,0.42760000000000015
5,2,0.009,glmnetFPR,0.3864
5,2,0.009,glmnetPCFPR,0.42480000000000007
5,2,0.009,ggmixFPR,0.42160000000000003
5,2,0.01,pglmmFPR,0.4320000000000001
5,2,0.01,glmnetFPR,0.40199999999999997
5,2,0.01,glmnetPCFPR,0.4292
5,2,0.01,ggmixFPR,0.42960000000000015
5,3,0.0,pglmmFPR,0.16639999999999996
5,3,0.0,glmnetFPR,0.026000000000000006
5,3,0.0,glmnetPCFPR,0.17239999999999994
5,3,0.0,ggmixFPR,0.17
5,3,0.001,pglmmFPR,0.3016
5,3,0.001,glmnetFPR,0.05800000000000002
5,3,0.001,glmnetPCFPR,0.32120000000000004
5,3,0.001,ggmixFPR,0.30839999999999984
5,3,0.002,pglmmFPR,0.35160000000000013
5,3,0.002,glmnetFPR,0.0968
5,3,0.002,glmnetPCFPR,0.3808
5,3,0.002,ggmixFPR,0.3604000000000001
5,3,0.003,pglmmFPR,0.37360000000000004
5,3,0.003,glmnetFPR,0.13840000000000002
5,3,0.003,glmnetPCFPR,0.4099999999999999
5,3,0.003,ggmixFPR,0.3864
5,3,0.004,pglmmFPR,0.39320000000000005
5,3,0.004,glmnetFPR,0.1752
5,3,0.004,glmnetPCFPR,0.4320000000000001
5,3,0.004,ggmixFPR,0.4035999999999999
5,3,0.005,pglmmFPR,0.4128
5,3,0.005,glmnetFPR,0.20919999999999994
5,3,0.005,glmnetPCFPR,0.44520000000000004
5,3,0.005,ggmixFPR,0.4219999999999999
5,3,0.006,pglmmFPR,0.4276
5,3,0.006,glmnetFPR,0.23400000000000007
5,3,0.006,glmnetPCFPR,0.46040000000000014
5,3,0.006,ggmixFPR,0.4316000000000001
5,3,0.007,pglmmFPR,0.44079999999999997
5,3,0.007,glmnetFPR,0.25799999999999995
5,3,0.007,glmnetPCFPR,0.47000000000000014
5,3,0.007,ggmixFPR,0.4484000000000002
5,3,0.008,pglmmFPR,0.4516000000000001
5,3,0.008,glmnetFPR,0.2804
5,3,0.008,glmnetPCFPR,0.47560000000000024
5,3,0.008,ggmixFPR,0.45640000000000014
5,3,0.009,pglmmFPR,0.458
5,3,0.009,glmnetFPR,0.29960000000000003
5,3,0.009,glmnetPCFPR,0.48560000000000014
5,3,0.009,ggmixFPR,0.4636000000000003
5,3,0.01,pglmmFPR,0.4660000000000001
5,3,0.01,glmnetFPR,0.3188000000000001
5,3,0.01,glmnetPCFPR,0.49120000000000025
5,3,0.01,ggmixFPR,0.46600000000000025
