K,scenario,fpr,method,mean
2,3,0.005,glmnetFPR,0.8335256536752937
2,3,0.005,glmnetPCFPR,0.8421251596722538
2,3,0.005,ggmixFPR,0.7772622483449686
2,3,0.006,pglmmFPR,0.8418181422186108
2,3,0.006,glmnetFPR,0.837879492432994
2,3,0.006,glmnetPCFPR,0.844088494811279
2,3,0.006,ggmixFPR,0.7805455328335595
2,3,0.007,pglmmFPR,0.8432389698740809
2,3,0.007,glmnetFPR,0.8427208906212708
2,3,0.007,glmnetPCFPR,0.8459044411709432
2,3,0.007,ggmixFPR,0.7865379974670087
2,3,0.008,pglmmFPR,0.8443648040865542
2,3,0.008,glmnetFPR,0.8452830543280829
2,3,0.008,glmnetPCFPR,0.8469397143939201
2,3,0.008,ggmixFPR,0.7890563524642273
2,3,0.009,pglmmFPR,0.8457301299124468
2,3,0.009,glmnetFPR,0.84790464916241
2,3,0.009,glmnetPCFPR,0.848079488603494
2,3,0.009,ggmixFPR,0.7921443345430894
2,3,0.01,pglmmFPR,0.84669281722673
2,3,0.01,glmnetFPR,0.8492269078945628
2,3,0.01,glmnetPCFPR,0.8489742050747365
2,3,0.01,ggmixFPR,0.7941167071620002
5,1,0.0,pglmmFPR,0.7292433526008507
5,1,0.0,glmnetFPR,0.5585910289767408
5,1,0.0,glmnetPCFPR,0.6882229575233595
5,1,0.0,ggmixFPR,0.6347598701215199
5,1,0.001,pglmmFPR,0.7437992925784882
5,1,0.001,glmnetFPR,0.6603934370672724
5,1,0.001,glmnetPCFPR,0.7118406632775554
5,1,0.001,ggmixFPR,0.669946527899907
5,1,0.002,pglmmFPR,0.7495473090082362
5,1,0.002,glmnetFPR,0.6862223710894263
5,1,0.002,glmnetPCFPR,0.7201179330537453
5,1,0.002,ggmixFPR,0.6805097772074457
5,1,0.003,pglmmFPR,0.7526420580650686
5,1,0.003,glmnetFPR,0.6998723186526375
5,1,0.003,glmnetPCFPR,0.7246105898923713
5,1,0.003,ggmixFPR,0.6867656727964285
5,1,0.004,pglmmFPR,0.755323532210272
5,1,0.004,glmnetFPR,0.7089030556368081
5,1,0.004,glmnetPCFPR,0.7281682728549176
5,1,0.004,ggmixFPR,0.6909964953292225
5,1,0.005,pglmmFPR,0.7572074002538338
5,1,0.005,glmnetFPR,0.7151039642925922
5,1,0.005,glmnetPCFPR,0.7312468037529858
5,1,0.005,ggmixFPR,0.6942732610545028
5,1,0.006,pglmmFPR,0.7585200354785173
5,1,0.006,glmnetFPR,0.7208744747390885
5,1,0.006,glmnetPCFPR,0.7332902811204647
5,1,0.006,ggmixFPR,0.6970802218615636
5,1,0.007,pglmmFPR,0.7595978749934935
5,1,0.007,glmnetFPR,0.7244483276851819
5,1,0.007,glmnetPCFPR,0.7353776793679744
