K,scenario,fpr,method,mean
2,3,0.005,glmnetFPR,0.9305808878504324
2,3,0.005,glmnetPCFPR,0.8970901822591473
2,3,0.005,ggmixFPR,1.0159323016711013
2,3,0.006,pglmmFPR,0.895750955155207
2,3,0.006,glmnetFPR,0.9226637092336841
2,3,0.006,glmnetPCFPR,0.8908860899233629
2,3,0.006,ggmixFPR,1.0165485853270662
2,3,0.007,pglmmFPR,0.8897312684123577
2,3,0.007,glmnetFPR,0.9140976995053596
2,3,0.007,glmnetPCFPR,0.8846927171009805
2,3,0.007,ggmixFPR,1.017312688153468
2,3,0.008,pglmmFPR,0.8847549387799074
2,3,0.008,glmnetFPR,0.9081290916169893
2,3,0.008,glmnetPCFPR,0.8793223997481223
2,3,0.008,ggmixFPR,1.0179545528061578
2,3,0.009,pglmmFPR,0.8787347808667217
2,3,0.009,glmnetFPR,0.9010154244739791
2,3,0.009,glmnetPCFPR,0.8742698448607544
2,3,0.009,ggmixFPR,1.0184628970184435
2,3,0.01,pglmmFPR,0.8739126930164811
2,3,0.01,glmnetFPR,0.8953642026173972
2,3,0.01,glmnetPCFPR,0.8697130371764203
2,3,0.01,ggmixFPR,1.0189606059482734
5,1,0.0,pglmmFPR,0.9799687233215376
5,1,0.0,glmnetFPR,0.9960319675328332
5,1,0.0,glmnetPCFPR,0.9819820007133265
5,1,0.0,ggmixFPR,1.00474824585783
5,1,0.001,pglmmFPR,0.9625245529203947
5,1,0.001,glmnetFPR,0.9894986586245907
5,1,0.001,glmnetPCFPR,0.9649519447357514
5,1,0.001,ggmixFPR,1.0080653178942995
5,1,0.002,pglmmFPR,0.9535772483948506
5,1,0.002,glmnetFPR,0.9818433325940384
5,1,0.002,glmnetPCFPR,0.9565492066671867
5,1,0.002,ggmixFPR,1.0098614429721209
5,1,0.003,pglmmFPR,0.9480016273967172
5,1,0.003,glmnetFPR,0.9743808833898246
5,1,0.003,glmnetPCFPR,0.9511252508226609
5,1,0.003,ggmixFPR,1.010971365780783
5,1,0.004,pglmmFPR,0.942990169802801
5,1,0.004,glmnetFPR,0.9681469132386847
5,1,0.004,glmnetPCFPR,0.946715593198512
5,1,0.004,ggmixFPR,1.0117751412882794
5,1,0.005,pglmmFPR,0.9388204289654866
5,1,0.005,glmnetFPR,0.9628722260150624
5,1,0.005,glmnetPCFPR,0.9424187893609303
5,1,0.005,ggmixFPR,1.0126039646707279
5,1,0.006,pglmmFPR,0.9356691784320574
5,1,0.006,glmnetFPR,0.9573277287949468
5,1,0.006,glmnetPCFPR,0.9395208462817531
5,1,0.006,ggmixFPR,1.013314104589267
5,1,0.007,pglmmFPR,0.9329953539934357
5,1,0.007,glmnetFPR,0.9532376823635065
5,1,0.007,glmnetPCFPR,0.9360624764071475
5,1,0.007,ggmixFPR,1.0136334665796298
5,1,0.008,pglmmFPR,0.9301770071783639
5,1,0.008,glmnetFPR,0.9496155744247495
5,1,0.008,glmnetPCFPR,0.9336502472283934
5,1,0.008,ggmixFPR,1.014246950900906
5,1,0.009,pglmmFPR,0.928150451024258
5,1,0.009,glmnetFPR,0.945392090352679
5,1,0.009,glmnetPCFPR,0.9316465981287885
5,1,0.009,ggmixFPR,1.014657644358352
5,1,0.01,pglmmFPR,0.9257061904300791
5,1,0.01,glmnetFPR,0.9420964941354338
5,1,0.01,glmnetPCFPR,0.9295300492153912
5,1,0.01,ggmixFPR,1.0149615809053527
5,2,0.0,pglmmFPR,0.956934817571874
5,2,0.0,glmnetFPR,0.9831656778983141
5,2,0.0,glmnetPCFPR,0.9611237738689482
5,2,0.0,ggmixFPR,1.009309890848303
5,2,0.001,pglmmFPR,0.910476381646141
5,2,0.001,glmnetFPR,0.9555679923410818
5,2,0.001,glmnetPCFPR,0.9123372730495375
5,2,0.001,ggmixFPR,1.0167687986974476
5,2,0.002,pglmmFPR,0.8904366653073923
5,2,0.002,glmnetFPR,0.9351700487586388
5,2,0.002,glmnetPCFPR,0.8935363419087894
5,2,0.002,ggmixFPR,1.0202621515449464
5,2,0.003,pglmmFPR,0.8800326054616237
5,2,0.003,glmnetFPR,0.9207236916553729
5,2,0.003,glmnetPCFPR,0.8831617099552359
5,2,0.003,ggmixFPR,1.0221370204445974
5,2,0.004,pglmmFPR,0.8721241941982796
5,2,0.004,glmnetFPR,0.9090874549825436
5,2,0.004,glmnetPCFPR,0.8747124970040392
5,2,0.004,ggmixFPR,1.0234567607908205
5,2,0.005,pglmmFPR,0.864886969620989
5,2,0.005,glmnetFPR,0.8987340464712062
5,2,0.005,glmnetPCFPR,0.867553306851868
5,2,0.005,ggmixFPR,1.0246165970887073
5,2,0.006,pglmmFPR,0.8578433154027543
5,2,0.006,glmnetFPR,0.8906528760453944
5,2,0.006,glmnetPCFPR,0.8631633567870733
5,2,0.006,ggmixFPR,1.0254879844108789
5,2,0.007,pglmmFPR,0.8546418311399074
5,2,0.007,glmnetFPR,0.8834887359339041
5,2,0.007,glmnetPCFPR,0.8578603504987682
5,2,0.007,ggmixFPR,1.0262253257599907
5,2,0.008,pglmmFPR,0.8491268729303109
5,2,0.008,glmnetFPR,0.8777837665781222
5,2,0.008,glmnetPCFPR,0.8531568344517111
5,2,0.008,ggmixFPR,1.0269156313357244
5,2,0.009,pglmmFPR,0.844537519733581
5,2,0.009,glmnetFPR,0.8716968460419814
5,2,0.009,glmnetPCFPR,0.8482047416630307
5,2,0.009,ggmixFPR,1.0276578279716753
5,2,0.01,pglmmFPR,0.8420702213864598
5,2,0.01,glmnetFPR,0.8655200882724965
5,2,0.01,glmnetPCFPR,0.8454639817155458
5,2,0.01,ggmixFPR,1.0282252979501703
