K,scenario,fpr,method,mean
2,3,0.006,glmnetFPR,82.30614766678372
2,3,0.006,glmnetPCFPR,78.96657647148898
2,3,0.006,ggmixFPR,91.61859537118161
2,3,0.007,pglmmFPR,79.10895772410422
2,3,0.007,glmnetFPR,81.59187329805353
2,3,0.007,glmnetPCFPR,78.54337226540534
2,3,0.007,ggmixFPR,91.69554340566981
2,3,0.008,pglmmFPR,78.80678398474726
2,3,0.008,glmnetFPR,81.14014693544483
2,3,0.008,glmnetPCFPR,78.18097626788884
2,3,0.008,ggmixFPR,91.7518749875001
2,3,0.009,pglmmFPR,78.4134129009103
2,3,0.009,glmnetFPR,80.54316514288374
2,3,0.009,glmnetPCFPR,77.9035593636328
2,3,0.009,ggmixFPR,91.79804300867765
2,3,0.01,pglmmFPR,78.10120608646302
2,3,0.01,glmnetFPR,80.10974167027109
2,3,0.01,glmnetPCFPR,77.68443087235767
2,3,0.01,ggmixFPR,91.84773029828966
5,1,0.0,pglmmFPR,83.2835899482529
5,1,0.0,glmnetFPR,85.45055619061526
5,1,0.0,glmnetPCFPR,83.53383808224545
5,1,0.0,ggmixFPR,86.6655495101347
5,1,0.001,pglmmFPR,81.30052431125472
5,1,0.001,glmnetFPR,84.61078821013655
5,1,0.001,glmnetPCFPR,81.56437365492553
5,1,0.001,ggmixFPR,87.0673800485578
5,1,0.002,pglmmFPR,80.32956450512596
5,1,0.002,glmnetFPR,83.71444839402533
5,1,0.002,glmnetPCFPR,80.6653372172616
5,1,0.002,ggmixFPR,87.26880694315741
5,1,0.003,pglmmFPR,79.75843722012333
5,1,0.003,glmnetFPR,82.87184298531905
5,1,0.003,glmnetPCFPR,80.11711110557322
5,1,0.003,ggmixFPR,87.38915057254904
5,1,0.004,pglmmFPR,79.2519277513852
5,1,0.004,glmnetFPR,82.15562041441218
5,1,0.004,glmnetPCFPR,79.67290136336905
5,1,0.004,ggmixFPR,87.47511285915438
5,1,0.005,pglmmFPR,78.83981158914746
5,1,0.005,glmnetFPR,81.59303876458874
5,1,0.005,glmnetPCFPR,79.25637954645622
5,1,0.005,ggmixFPR,87.5609163202968
5,1,0.006,pglmmFPR,78.54646331027806
5,1,0.006,glmnetFPR,80.99342650438848
5,1,0.006,glmnetPCFPR,78.97918299574978
5,1,0.006,ggmixFPR,87.63391469051734
5,1,0.007,pglmmFPR,78.2968190043021
5,1,0.007,glmnetFPR,80.56360932767178
5,1,0.007,glmnetPCFPR,78.65532917416053
5,1,0.007,ggmixFPR,87.6662329368952
5,1,0.008,pglmmFPR,78.03875561036122
5,1,0.008,glmnetFPR,80.19657339606516
5,1,0.008,glmnetPCFPR,78.437141070087
5,1,0.008,ggmixFPR,87.72758023366325
5,1,0.009,pglmmFPR,77.85827703723146
5,1,0.009,glmnetFPR,79.76394085522868
5,1,0.009,glmnetPCFPR,78.25624325979189
5,1,0.009,ggmixFPR,87.7685074581099
5,1,0.01,pglmmFPR,77.64144512025224
5,1,0.01,glmnetFPR,79.43102326835641
5,1,0.01,glmnetPCFPR,78.06845314550709
5,1,0.01,ggmixFPR,87.79866760644667
5,2,0.0,pglmmFPR,72.44890478712878
